,Rank,Movie,Date,Total Sales,Sales Share,Cumulative Sales,Total Attendance,Cumulative Attendance,Screen Count,Show Count,Country,Production Country,Production Company,Distributor,Level,Director,Production Budgets,Success,actor1,actor2,actor3,genre1,genre2
101,102,탄생,2022-11-30,3189107816,0.001,3189107816,356229,356229,690,20954,한국,한국,"민영화사,가톨릭문화원 ALMA ART","씨제이 씨지브이(CJ CGV)(주),(주)레드아이스 엔터테인먼트",12세이상관람가,박흥식,150.0,0.0,윤시윤,안성기,윤경호,드라마,
102,103,인투 더 월드,2024-01-10,3170264916,0.001,3170264916,348438,348438,839,27036,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,벤자민 레너,936.0,,엘리자베스 뱅크스,캐롤 케인,아콰피나,애니메이션,
103,104,버즈 라이트이어,2022-06-15,3511804460,0.001,3511804460,344774,344774,844,21869,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,앵거스 맥클레인,2600.0,,크리스 에반스,타이카 와이티티,피터 손,애니메이션,액션
104,105,웅남이,2023-03-22,2868959071,0.001,2868959071,314241,314241,829,36060,한국,한국,(주)영화사김치,씨제이 씨지브이(CJ CGV)(주),15세이상관람가,박성광,40.0,0.0,박성웅,최민수,오달수,코미디,액션
105,106,거미집,2023-09-27,3003379576,0.001,3003379576,313686,313686,1058,27130,한국,한국,앤솔로지스튜디오(주),(주)바른손이앤에이,15세이상관람가,김지운,96.0,0.0,송강호,임수정,오정세,코미디,드라마
106,107,던전 앤 드래곤: 도적들의 명예,2023-03-29,2935281137,0.001,2935281137,293760,293760,1105,34065,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,,1950.0,,크리스 파인,미셸 로드리게즈,레게-장 페이지,액션,어드벤처
107,108,극장판 스파이 패밀리 코드 : 화이트,2024-03-20,2817619648,0.001,2817619648,282742,282742,917,26051,일본,일본,,"(주)넥스트엔터테인먼트월드(NEW),(주)대교 미디어콘텐츠사업본부",12세이상관람가,카타기리 타카시,30.0,,에구치 타쿠야,타네자키 아츠미,하야미 사오리,애니메이션,
108,109,용감한 시민,2023-10-25,2448332472,0.001,2448332472,267371,267371,887,30454,한국,한국,"스튜디오엔(주),볼미디어(주)",(주)마인드마크,15세이상관람가,박진표,80.0,0.0,신혜선,이준영,박정우,액션,드라마
109,110,화란,2023-10-11,2515803090,0.001,2515803090,264050,264050,976,35554,한국,한국,(주)사나이픽처스,플러스 엔터테인먼트,15세이상관람가,김창훈,38.0,0.0,홍사빈,송중기,김형서,드라마,
110,111,크리에이터,2023-10-03,2775280272,0.001,2775280272,262823,262823,878,25149,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,가렛 에드워즈,1040.0,,존 데이비드 워싱턴,젬마 찬,,SF,액션
