Movie,Date,Total Sales,Sales Share,Cumulative Sales,Total Attendance,Cumulative Attendance,Screen Count,Show Count,Country,Production Country,Production Company,Distributor,Level,Director,Production Budgets,Success,actor1,actor2,actor3,genre1,genre2,rating,sentiment,YearMonth,남자 인구수,여자 인구수,총인구수,가계지출,소비지출,비소비지출,ViewCount,LikeCount,Actor1,Actor2,Actor3,Month,GENRE1,GENRE2
"포켓몬스터: 성도지방 이야기, 최종장",2024-05-01,1360143962,0.001,1360143962,154409,154409,710,9212,일본,일본,,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,유야마 쿠니히코,150.0,1.0,,,,애니메이션,,3.1,57.25,2024.05,25536793.0,25740554.0,51277347.0,,,,31035.0,311.0,,,,5,0.1,
그녀가 죽었다,2024-05-15,1406190761,0.001,1406190761,148831,148831,898,6409,한국,한국,엔진 필름,"(주)콘텐츠지오,(주)아티스트스튜디오,(주)무빙픽쳐스컴퍼니",15세이상관람가,김세휘,70.0,0.0,변요한,신혜선,이엘,미스터리,스릴러,2.5,45.88,2024.05,25536793.0,25740554.0,51277347.0,,,,318160.0,592.0,148831.0,280372.7,148831.0,5,0.1,0.08
불릿 트레인,2022-08-24,1554615073,0.001,1554615073,143620,143620,904,19957,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,청소년관람불가,데이빗 레이치,1116.7,0.0,브래드 피트,조이 킹,애 테일러 존슨,액션,,3.5,30.33,2022.08,25699579.0,25858862.0,51558441.0,1920.0,1567.0,353.0,946385.0,853.0,178627.5,143620.0,177012.0,8,0.12,
눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,2022-12-22,1301016791,0.001,1301016791,141354,141354,626,6835,기타,기타,,메가박스중앙(주),전체관람가,알렉세이 트시칠린,20.0,1.0,,,,애니메이션,,1.9,59.29,2022.12,25636951.0,25802087.0,51439038.0,2169.0,1802.0,367.0,19551.0,87.0,,,,12,0.17,
극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,2023-09-28,1278771994,0.001,1278771994,141025,141025,601,8252,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,,10.0,1.0,,,,애니메이션,,2.9,52.62,2023.09,25592335.0,25777666.0,51370001.0,2117.0,1772.0,345.0,75660.0,257.0,,,,9,0.1,
아가일,2024-02-07,1442627957,0.001,1442627957,140533,140533,841,15934,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,매튜 본,2600.0,0.0,헨리 카빌,브라이스 달라스 하워드,샘 록웰,액션,코미디,3.17,55.4,2024.02,25553189.0,25750499.0,51303688.0,,,,1359071.0,2418.0,140533.0,1488971.5,140533.0,2,0.06,0.07
극장판 슈퍼윙스: 맥시멈 스피드,2023-07-20,1192070958,0.0,1192070958,135976,135976,407,6202,한국,한국,(주)퍼니플럭스,(주)넥스트엔터테인먼트월드(NEW),전체관람가,정길훈,20.0,0.0,문남숙,장은숙,최보배,애니메이션,,2.7,69.5,2023.07,25603147.0,25783986.0,51387133.0,1821.0,1527.0,294.0,1090278.0,3002.0,135976.0,135976.0,135976.0,7,0.12,
보호자,2023-08-15,1238963700,0.0,1238963700,128534,128534,685,11004,한국,한국,(주)영화사테이크,(주)에이스메이커무비웍스,15세이상관람가,정우성,80.0,0.0,정우성,김남길,김준한,액션,드라마,2.22,17.1,2023.08,25596921.0,25780292.0,51377213.0,1874.0,1597.0,277.0,,,128534.0,128534.0,128534.0,8,0.12,0.15
패스트 라이브즈,2024-03-06,1176859399,0.0,1176859399,126402,126402,613,15739,미국,미국,,(주)씨제이이엔,12세이상관람가,셀린 송,65.0,0.0,그레타 리,유태오,존 마가로,드라마,,3.6,79.83,2024.03,25547370.0,25746564.0,51293934.0,,,,329636.0,1795.0,126402.0,126402.0,126402.0,3,0.12,
두다다쿵: 후후섬의 비밀,2023-02-15,1136395650,0.0,1136395650,125978,125978,514,8549,한국,한국,아이스크림 스튜디오(주),(주)넥스트엔터테인먼트월드(NEW),전체관람가,"최병선,김지윤",10.0,0.0,,,,애니메이션,,2.9,85.0,2023.02,25626211.0,25795268.0,51421479.0,1788.0,1500.0,288.0,509565.0,173.0,,,,2,0.05,
