title,date
Oil Spill Hearing Set For Tuesday. ,1989-05-15
Toughest Taskmaster Battles Oil. ,1989-05-15
Saudis Buying Into Texaco. ,1989-05-15
And Now For The Eood News About The Valdez Oil Valdo? Nil Spill,1989-05-15
Hearings On Alaska Spill Open Tuesday. ,1989-05-15
Flexible-Fuel Vehicles Still Face Cost Problem. By Him K. ... ,1989-05-16
"Oil, Gas Trading Light. ",1989-05-16
Roderick ,1989-05-16
Yamani Will Have The Last. Tv St! Strengthens Its Stranglehold,1989-05-16
Toughest Taskmaster Battles The Oil Spill. ,1989-05-16
Saudis Join Texaco At Gas Pumps. ,1989-05-17
"Page 4. Puco Report Says Increase By Refiners, Not Oil ... ",1989-05-17
Crude Oil Futures Soar. ,1989-05-17
Sarasota Herald-Tribune ,1989-05-17
Aid Motorists. ,1989-05-18
Energy Prices Deteriorate. ,1989-05-18
Events Make Him Wonder Whether Our Thinking's Upside Down,1989-05-18
"New Report Criticizes Oil Companies, Government. ",1989-05-18
Ethanol Helps Energy Security. ,1989-05-20
Hearing On Valdez. Oil Spill. Concludes Brian Akra. ,1989-05-21
Reading Eagle ,1989-05-21
"Nation Evidence Suggests Booze, Complacency Led To Oil Spill",1989-05-21
Coast Guard Commander Testifies In Oil Spill Hearings. ,1989-05-21
Hearing On Oil Spill Ends With No Admissions Of Testimony ,1989-05-22
"Hearing Sorts Out Oil Spill Factors, Blame . ",1989-05-22
Alaskan Oil Spill Hearings Uncover Plenty Of Blame. ,1989-05-22
Speaker Wright Pays Off Debts. ,1989-05-22
Altus Times ,1989-05-22
Gas Prices Rise Sharply. ,1989-05-22
Protection Expanding To Groundwater. By Joseph. ... ,1989-05-22
Price Hike Not Blamed On Oil Spill. ,1989-05-22
Saudis Are Even Pumping Our Gas. ,1989-05-25
Gasoline Prices. Initiative Would Put Price Practices Under ... ,1989-05-25
Rundle Twins Plan $90m Shale Oil Plant. ,1989-05-25
Gas Station Operators Want Pricing Scrutinized. ,1989-05-25
Now The Saudis Even Pump Gas. ,1989-05-26
Gas Dealers Want State To Regulate. ,1989-05-26
Reading Eagle ,1989-05-26
Warning ,1989-05-29
Oil Spill Hurting Alaska Tourism. ,1989-05-30
Warning ,1989-05-31
"Oil Production Dipped, Natural Gas Output Rose . ",1989-06-16
Quota Countries With A Total Of $404.93 Tile Export Board ... ,1989-06-23
Kuwait's Plans To Cut Back Oil Production Sees Crude Prices Up,1989-06-27
The Hour ,1989-06-29
Gettysburg Times ,1989-08-01
Exxon Wants To Share Dirty Work With Mother Nature. ,1989-08-01
