title,date
"Ida Thee Robesonian, Lumberton, N. 4 Killed In Explosion On ",1988-04-13
"Oil Spill Menaces Wildlife Sanctuary, Fishing. ",1988-05-01
200 Animals Said Killed By Oil Spill. ,1988-05-01
Oil Spill Threatens Wildlife. ,1988-05-01
Oil Spill Threatens Fragile Bird Habitat. ,1988-05-01
"Massive Calif, Oil Spill Endangers Wildlife. ",1988-05-01
Opec Members Tentatively Agree To Production Cuts. ,1988-04-30
Opec Move Expected; Oil Prices Jump Higher. ,1988-04-12
8 Nations Agree To Cut Oil Output. ,1988-04-30
Oil Speculation Boosts Pound. ,1988-04-13
Opec Output Rises In March'. ,1988-04-14
Caltex Being Denied Free-Market Bas Oil. ,1988-04-28
Shell: Illegal Practice Resulted In Oil Spill. ,1988-04-28
Opec Divided Over Plan ,1988-04-29
Oil Prices Go Higher On Rumors Of Output Limits. ,1988-04-12
Shell Admits Wrong In Bird Refuge Oil Spill. ,1988-04-29
Spill Threatens Wildlife Haven. ,1988-04-26
Shell Admits Illegal Drainage Caused Huge Oil Spill Disaster. ,1988-04-29
Shell Blames Open Valve In Crude Oil Spill But The Firm ... ,1988-04-29
Schenectady Gazette ,1988-04-07
Speculation On Opec Gives Oil Prices A Jolt. ,1988-04-12
If Prices Retreat As Tensions Abate. ,1988-04-19
4a Sunday Star-News. Oil Spill. Killing Wildlife. ,1988-05-01
Shell Admits Illegal Practice Led To Oil Spill. ,1988-04-29
Opec Rumors Fuel Jump In Oil Prices. ,1988-04-12
Due Low. ,1988-05-01
Oil Cartel Talks Bog Down. ,1988-04-30
Woos Rivals; Prices Soar. ,1988-04-12
Unocal Plant Involved... Oil Tanks Blaze Extinguished. ,1988-04-06
The Victoria Advocate ,1988-04-30
Cleanup Of Oil Spill Under Way. ,1988-04-26
"Oil Production Will Be Higi In In 1990s, Forecast Says. ",1988-04-18
Bpill Termed Menace. ,1988-05-01
Spill Threatens Wildlife Sanctuary. ,1988-05-01
Massive Spill Menaces Mofford Disclosure Wildlife Sanctuary ,1988-05-01
"The Blade: Toledo, Ohio, Sunday, May 1.1988 Sec Page If. ... ",1988-05-01
Crude Oil Passes $18-A-Barrel Mark. ,1988-04-13
Opec Meet May Look At Sagging Oil Prices. ,1988-04-09
Senate ,1988-04-26
Bean Buying Binge. ,1988-05-01
Energy Demand Seen Increasing. ,1988-04-18
Commodity Roundup. ,1988-04-16
Precious Metals Futures Rise. ,1988-04-28
"Business Opec Members Face Another Crisis, But Higher Oil ",1988-04-24
Boy's Worst Since 1971. Sf Oil Spill Killing Wildlife. ,1988-04-28
"Opec May Be Losing Battle, Again ",1988-04-24
Prices Fall; Opec To Meet. ,1988-04-09
Opec ,1988-04-29
Apea Seeks. Exdloration Tax Relief. ,1988-04-07
Transition To The Gas Era. ,1988-04-04
Oil Spill Cleanup Goes On ,1988-05-01
Oil Prices Mixed In ,1988-04-01
Pizza Hurt. ,1988-04-07
"Gulf Crisis Spurs Gold Stocks, But Industrials Down. ",1988-04-20
Texaco Tries To Shed Musty Corporate Image. ,1988-04-03
Cory To Ask. Unlad Against Radical Land Bill. China For ... ,1988-04-11
Id Rx On Daily. New! Om April 5 1988. Panel Hears Plan To ,1988-04-05
Damaged Oil Tanker Stays Off Galveston ,1988-04-11
Make Your Home Our Home 212 Sam Houston Continkntal ... ,1988-04-15
Oil Tanker Explodes. ,1988-04-13
Oil Tanker Explodes. ,1988-04-12
Drop In Oil Prices Slows Eor Projects. ,1988-04-20
"Interior Secretary Hodel: In Middle Of Controversy, He's ... ",1988-04-21
Opec May Cut Output Slightly Kaiser Contract. ,1988-04-30
New Cars Becoming More And More High-Tech. ,1988-04-15
Menaces Wildlife. Miles To Voluntarily Help State Crews ... ,1988-05-01
Georges Bank Drilling Plan Spurs Debate. ,1988-04-01
Business Oil Expert Cautions That Shortages Are Not Entirely ,1988-05-18
Oil Prices Decline As Opec Rejects Cut. ,1988-05-03
Oil Traders Looking For Clues. ,1988-05-28
Tesoro Sells Firm Parts. ,1988-05-12
Tesoro Sells Firm Parts. ,1988-05-13
"1 75,000 Gallons Of Gooey Crude. Oil Spill Menaces Sanctuary",1988-05-01
News Digest. Indonesia Supplies More Oil. ,1988-05-25
Oil Prices Tumble But Not To Levels Preceding Opec's Meeting,1988-05-02
Oil Firms Profits Rise. ,1988-05-22
Irea Gas Prices. I. St Cents. Ill In Two Weeks For Il Ir. ... ,1988-05-03
Warning ,1988-05-31
The Oil And ,1988-05-01
The Vindicator ,1988-05-27
Court To Hear Oil Company Case. ,1988-05-16
"Battered By Regulations, Prices. ",1988-05-15
Uil Spill Turns Into A Major Menace For California Wildlife. ,1988-05-01
Oil Prices Stabilise On World Markets. ,1988-05-05
Oil Menaces Fishing And Bird Nesting. ,1988-05-01
Gas Gives Ailing Southwest Economic Hope. By Howard.... ,1988-05-22
"Oil Spill In California Menaces Birds, Fish. ",1988-05-01
China's Largest Oil Field To Run At A Loss. ,1988-05-24
'88 Looking Up For Depressed Oil States. Luvv Prices Sink. ... ,1988-05-31
"Oil Spill Menaces Wildlife Sanctuary, Fishing. ",1988-05-01
200 Animals Said Killed By Oil Spill. ,1988-05-01
Oil Spill Threatens Wildlife. ,1988-05-01
Oil Spill Threatens Fragile Bird Habitat. ,1988-05-01
"Massive Calif, Oil Spill Endangers Wildlife. ",1988-05-01
House Building Dips. ,1988-05-19
Crude Oil Imports Rise 24.1 Percent. ,1988-05-19
Expert Predicts Rive Rears To To Return Marsh. I-Iitr ,1988-05-02
Oil Prices Drop As Opec Alliance Bid Fails. Key Us. Crude ... ,1988-05-02
Missing Men Being Sought. ,1988-05-07
Missing Men Being Sought. ,1988-05-07
Oil Prices Continue Mixed. ,1988-05-09
Oil Prices Continue Mixed. ,1988-05-11
Crude Oil. Nrice Slides Higher. ,1988-05-10
World Oil Prices Stabilizing. ,1988-05-04
Three More Bodies Found In Burned Refinery Ruins. ,1988-05-07
3roup Demands Tor Oil Leak Damage. ,1988-05-03
4a Sunday Star-News. Oil Spill. Killing Wildlife. ,1988-05-01
Due Low. ,1988-05-01
The Lewiston Daily Sun ,1988-05-07
Commodities ,1988-05-19
Bpill Termed Menace. ,1988-05-01
Spill Threatens Wildlife Sanctuary. ,1988-05-01
Massive Spill Menaces Mofford Disclosure Wildlife Sanctuary ,1988-05-01
"The Blade: Toledo, Ohio, Sunday, May 1.1988 Sec Page If. ... ",1988-05-01
Pennsylvania Oil Well Operators Balking At Environmental Rules,1988-05-11
Bean Buying Binge. ,1988-05-01
Slick Job. ,1988-05-03
Oil Imports Up. ,1988-05-19
Must Discourage Use Of Oil. ,1988-05-07
International S. Africa Strikes Oil In Mossel Bay. ,1988-05-10
Saudis Welcome Collapse Of Talks On Oil Cutbacks. ,1988-05-02
"Suit Against Blaine Twp, Is Dropped Officials Did Not ... ",1988-05-06
"Localstate Obituaries, 3bmoney, 4b. Spill Fuels Drilling Debate",1988-05-09
Oil Prices Slide On Us. Buildup ,1988-05-19
Saudis Pleased With Collapse Of Oil Production Cutback Talks,1988-05-02
Opec's Failure To Reach Agreement Causes Swift Plunge In ... ,1988-05-02
Oil Prices Plummet. ,1988-05-02
Gulf ,1988-05-15
Oil Spill Cleanup Goes On ,1988-05-01
Opec In Turmoil. Oil Prices... ,1988-05-02
The Madison Courier ,1988-05-02
